Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,11.64M,0.00,3.88
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.54B,0.07,3.96
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,8.87M,0.12,1.73
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,8.22M,0.33,6.00
STCN,"Steel Connect, Inc.",Services,Business Services,USA,117.82M,0.44,1.88
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,213.72M,0.46,10.10
OPHT,Ophthotech Corporation,Healthcare,Biotechnology,USA,86.51M,0.53,2.26
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,58.92M,0.55,1.51
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.83B,0.61,16.53
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,257.46M,0.63,15.50
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,143.86M,0.74,11.60
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,589.48M,0.80,1.18
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,32.12M,0.80,0.87
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,522.25M,0.82,3.23
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.69M,0.85,7.89
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,62.73M,0.96,0.95
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.24B,1.03,14.06
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,24.76M,1.06,0.62
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,28.04M,1.10,1.09
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,27.06M,1.11,16.50
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.53M,1.21,3.04
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,135.15M,1.26,2.66
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,56.43M,1.33,18.51
MDCA,MDC Partners Inc.,Services,Marketing Services,Canada,146.25M,1.40,2.51
GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,8.17M,1.41,0.17
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,299.56M,1.56,3.35
VNTR,Venator Materials PLC,Basic Materials,Specialty Chemicals,United Kingdom,708.66M,1.56,6.64
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,34.97M,1.62,2.00
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,441.30M,1.62,26.04
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,78.57M,1.63,14.95
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,113.02M,1.65,1.91
DAC,Danaos Corporation,Services,Shipping,Greece,215.34M,1.69,1.02
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,24.43M,1.70,1.19
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,916.66M,1.77,23.90
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,50.10M,1.94,2.05
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,9.88M,1.95,0.93
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,90.72M,1.96,2.68
