Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,11.64M,0.00,4.24
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.54B,0.07,3.60
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,8.87M,0.12,1.73
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,8.22M,0.33,5.96
STCN,"Steel Connect, Inc.",Services,Business Services,USA,117.82M,0.44,1.88
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,213.72M,0.46,9.83
OPHT,Ophthotech Corporation,Healthcare,Biotechnology,USA,86.51M,0.53,2.23
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,58.92M,0.55,1.50
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.83B,0.61,16.66
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,257.46M,0.63,15.50
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,143.86M,0.74,11.48
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,589.48M,0.80,1.20
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,32.12M,0.80,0.91
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,522.25M,0.82,3.33
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.69M,0.85,7.89
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,62.73M,0.96,1.00
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.24B,1.03,13.71
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,24.76M,1.06,0.63
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,28.04M,1.10,1.08
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,27.06M,1.11,16.50
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.53M,1.21,3.04
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,135.15M,1.26,2.66
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,56.43M,1.33,18.27
MDCA,MDC Partners Inc.,Services,Marketing Services,Canada,146.25M,1.40,2.55
GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,8.17M,1.41,0.17
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,299.56M,1.56,3.35
VNTR,Venator Materials PLC,Basic Materials,Specialty Chemicals,United Kingdom,708.66M,1.56,6.77
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,34.97M,1.62,2.00
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,441.30M,1.62,25.15
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,78.57M,1.63,14.95
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,113.02M,1.65,1.97
DAC,Danaos Corporation,Services,Shipping,Greece,215.34M,1.69,1.05
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,24.43M,1.70,1.19
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,916.66M,1.77,23.91
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,50.10M,1.94,1.94
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,9.88M,1.95,0.85
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,90.72M,1.96,2.71
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.26B,1.97,12.54
AABA,Altaba Inc.,Financial,Asset Management,USA,35.07B,2.05,59.78
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,2.16B,2.08,25.76
RFP,Resolute Forest Products Inc.,Consumer Goods,Paper & Paper Products,Canada,1.05B,2.09,11.23
DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,35.64M,2.10,1.99
BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,359.45M,2.10,10.91
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,471.63M,2.11,3.16
TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,17.38M,2.11,0.78
SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,320.72M,2.15,9.11
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,14.01M,2.24,0.53
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,11.90M,2.27,1.87
FNJN,"Finjan Holdings, Inc.",Technology,Application Software,USA,95.52M,2.28,3.54
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,111.93M,2.28,2.01
KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,109.49M,2.28,2.46
SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,51.30M,2.29,2.73
TDF,"Templeton Dragon Fund, Inc.",Financial,Closed-End Fund - Foreign,Singapore,575.21M,2.34,17.10
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1.30B,2.35,5.41
DQ,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,China,282.83M,2.36,21.59
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,884.39M,2.43,15.85
NPO,"EnPro Industries, Inc.",Industrial Goods,Industrial Equipment & Components,USA,1.27B,2.54,61.40
KLXE,"KLX Energy Services Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,596.49M,2.55,28.17
HEBT,"Hebron Technology Co., Ltd.",Industrial Goods,Diversified Machinery,China,10.45M,2.57,1.31
RYAM,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals - Major Diversified,USA,623.76M,2.66,12.26
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,21.96M,2.66,1.30
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,13.62B,2.66,9.00
APF,Morgan Stanley Asia-Pacific Fun,Financial,Closed-End Fund - Foreign,USA,195.51M,2.69,15.12
BTI,British American Tobacco p.l.c.,Consumer Goods,Cigarettes,United Kingdom,101.92B,2.70,43.46
EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,53.88M,2.71,4.35
PENN,"Penn National Gaming, Inc.",Services,Resorts & Casinos,USA,2.26B,2.71,24.00
LIVE,Live Ventures Incorporated,Technology,Internet Information Providers,USA,13.23M,2.74,6.89
FAF,First American Financial Corporation,Financial,Property & Casualty Insurance,USA,4.92B,2.76,44.83
SORL,"SORL Auto Parts, Inc.",Consumer Goods,Auto Manufacturers - Major,China,72.47M,2.78,3.88
EVC,Entravision Communications Corporation,Services,Broadcasting - TV,USA,431.71M,2.84,4.84
GTX,Garrett Motion Inc.,Consumer Goods,Auto Parts,Switzerland,1.05B,2.86,14.94
VHI,"Valhi, Inc.",Basic Materials,Chemicals - Major Diversified,USA,667.74M,2.88,2.10
HMG,"HMG/Courtland Properties, Inc.",Financial,REIT - Retail,USA,13.98M,2.90,14.06
EMES,Emerge Energy Services LP,Basic Materials,Industrial Metals & Minerals,USA,64.33M,2.93,2.09
CARV,"Carver Bancorp, Inc.",Financial,Savings & Loans,USA,15.34M,3.01,4.15
ASYS,"Amtech Systems, Inc.",Technology,Semiconductor Equipment & Materials,USA,70.29M,3.05,4.53
CLBS,"Caladrius Biosciences, Inc.",Healthcare,Biotechnology,USA,44.31M,3.07,4.18
MU,"Micron Technology, Inc.",Technology,Semiconductor- Memory Chips,USA,42.44B,3.17,37.20
BXC,BlueLinx Holdings Inc.,Services,Building Materials Wholesale,USA,213.85M,3.20,24.53
HCC,"Warrior Met Coal, Inc.",Financial,Property & Casualty Insurance,USA,1.43B,3.25,28.04
CHMI,Cherry Hill Mortgage Investment Corporation,Financial,REIT - Residential,USA,284.93M,3.28,17.89
MTL,Mechel PAO,Basic Materials,Steel & Iron,Russia,796.96M,3.30,2.75
HPJ,"Highpower International, Inc.",Industrial Goods,Industrial Electrical Equipment,China,41.70M,3.33,2.31
CNCE,"Concert Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,352.82M,3.39,15.30
CWH,"Camping World Holdings, Inc.",Financial,REIT - Office,USA,1.70B,3.41,16.95
VZA,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,106.27B,3.41,25.47
THST,"Truett-Hurst, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,8.38M,3.48,1.93
SBOW,"SilverBow Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,318.21M,3.48,26.29
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities,USA,24.18B,3.50,75.74
SBGI,"Sinclair Broadcast Group, Inc.",Services,Broadcasting - TV,USA,2.90B,3.52,28.62
NVFY,"Nova LifeStyle, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,36.40M,3.52,1.37
JMEI,Jumei International Holding Limited,Services,"Specialty Retail, Other",China,273.10M,3.61,1.91
LCI,"Lannett Company, Inc.",Healthcare,Drugs - Generic,USA,143.20M,3.61,3.66
MTOR,"Meritor, Inc.",Consumer Goods,Auto Parts,USA,1.42B,3.61,16.63
CVIA,Covia Holdings Corporation,Basic Materials,Industrial Metals & Minerals,USA,721.43M,3.65,5.93
TST,"TheStreet, Inc.",Technology,Internet Information Providers,USA,94.26M,3.72,1.91
REGI,"Renewable Energy Group, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,1.17B,3.79,32.34
ESGRP,Enstar Group Limited,Financial,Insurance Brokers,Bermuda,549.94M,3.79,25.69
SURF,"Surface Oncology, Inc.",Healthcare,Biotechnology,USA,214.50M,3.81,7.41
OSB,Norbord Inc.,Services,Building Materials Wholesale,Canada,2.13B,3.83,25.01
HCLP,Hi-Crush Partners LP,Basic Materials,Industrial Metals & Minerals,USA,653.24M,3.84,7.22
DXF,Dunxin Financial Holdings Limited,Financial,Credit Services,China,80.64M,3.86,3.78
SID,Companhia Siderurgica Nacional,Basic Materials,Steel & Iron,Brazil,3.44B,3.88,2.51
NLY,"Annaly Capital Management, Inc.",Financial,REIT - Diversified,USA,13.00B,3.91,9.85
GAIN,Gladstone Investment Corporation,Financial,Diversified Investments,USA,339.71M,3.97,10.43
HNNA,"Hennessy Advisors, Inc.",Financial,Asset Management,USA,91.88M,3.98,11.95
NTRSP,Northern Trust Corporation,Financial,Asset Management,USA,5.69B,4.01,25.47
DX,"Dynex Capital, Inc.",Financial,REIT - Residential,USA,342.24M,4.02,5.82
UTF,"Cohen & Steers Infrastructure Fund, Inc",Financial,Closed-End Fund - Equity,USA,1.83B,4.06,21.57
ZKIN,"ZK International Group Co., Ltd.",Basic Materials,Steel & Iron,China,28.48M,4.06,2.31
ALO,Alio Gold Inc.,Basic Materials,Gold,Canada,62.83M,4.08,0.72
TMK,Torchmark Corporation,Financial,Life Insurance,USA,9.56B,4.08,85.99
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Goods,Auto Parts,USA,1.64B,4.11,15.20
RVT,Royce Value Trust Inc.,Financial,Closed-End Fund - Equity,USA,1.15B,4.12,14.02
HEES,"H&E Equipment Services, Inc.",Services,Rental & Leasing Services,USA,897.63M,4.14,24.61
GPOR,Gulfport Energy Corporation,Basic Materials,Independent Oil & Gas,USA,1.58B,4.15,9.06
HBM,Hudbay Minerals Inc.,Basic Materials,Copper,Canada,943.19M,4.17,3.87
