Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,95.88M,675.74%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Sep 18/b,1.41,3.68%
SWZ,195.68M,254.08%,-,-,-,-,-,-,-,-,-,-,-,7.80,0.91%
VMIN,-,123.28%,-,-,-,-,-,-,-,-,-,-,-,2.70,3.05%
KEN,884.39M,78.49%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 29/b,15.97,1.52%
OSB,2.13B,56.10%,-,-,-,-,-,-,-,-,-,-,Nov 09/b,25.37,3.13%
OXBR,6.43M,46.60%,-88.10%,-164.90%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 13/a,1.11,7.77%
WHLR,30.84M,41.85%,-5.00%,-105.30%,0.10%,-,-,20.33,20.33,73.40%,3.60%,-39.80%,Nov 06/a,3.28,1.03%
ATAI,26.22M,37.27%,-14.50%,-34.60%,6.80%,1.20,1.20,0.00,0.07,47.20%,-,-27.50%,Nov 08/a,1.10,0.15%
PMTS,30.46M,30.61%,-16.90%,32.20%,-4.80%,2.20,2.00,-,-,29.60%,-7.20%,-15.80%,Nov 06/b,2.94,0.00%
NAUH,16.48M,28.21%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.64,0.25%
FGP,157.41M,26.14%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Sep 27/b,1.58,3.27%
SNMP,110.21M,25.64%,-6.80%,98.20%,-0.10%,0.80,0.80,-,-,71.80%,5.20%,-48.20%,Nov 09/b,7.05,0.43%
CLM,530.74M,23.85%,-,-,-,-,-,-,-,-,-,-,-,12.26,2.94%
CRF,264.80M,23.59%,-,-,-,-,-,-,-,-,-,-,-,12.06,3.09%
EXD,-,23.02%,-,-,-,-,-,-,-,-,-,-,-,8.35,0.12%
VEDL,10.68B,22.93%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,11.10,-2.46%
CBL,659.79M,21.56%,-0.40%,-2.00%,5.00%,-,-,3.84,3.84,71.00%,22.00%,-2.50%,Oct 29/a,3.29,-11.32%
NNA,56.60M,21.02%,-4.10%,-14.30%,2.30%,1.00,1.00,2.41,2.53,83.90%,-2.70%,-33.10%,Nov 21/b,0.37,-3.31%
MRRL,-,20.81%,-,-,-,-,-,-,-,-,-,-,-,14.48,1.78%
PER,140.05M,20.80%,18.90%,18.90%,19.30%,-,-,0.00,0.00,94.90%,83.10%,83.40%,Nov 06/a,2.50,0.00%
REML,-,20.74%,-,-,-,-,-,-,-,-,-,-,-,25.06,3.13%
VOC,72.84M,20.51%,11.00%,11.00%,10.80%,-,-,0.00,0.00,-,90.50%,91.50%,Nov 08,4.44,3.45%
MORL,-,20.48%,-,-,-,-,-,-,-,-,-,-,-,14.48,0.19%
NAP,53.99M,20.16%,-3.90%,-7.30%,6.50%,7.00,7.00,0.91,0.91,93.40%,35.60%,-20.40%,Nov 08/b,2.59,4.35%
GOV,997.49M,19.01%,0.80%,2.20%,1.50%,-,-,1.67,1.67,67.60%,11.50%,7.30%,Nov 01/b,8.76,-3.20%
PEX,-,18.84%,-,-,-,-,-,-,-,-,-,-,-,33.68,2.15%
SMHD,-,18.14%,-,-,-,-,-,-,-,-,-,-,-,15.93,-0.38%
AMJL,-,18.13%,-,-,-,-,-,-,-,-,-,-,-,15.60,4.77%
CEFL,-,17.90%,-,-,-,-,-,-,-,-,-,-,-,13.74,0.81%
AI,245.16M,17.88%,-1.00%,-13.00%,0.40%,-,-,0.25,12.82,8.10%,-,-55.90%,Oct 23/a,8.43,0.48%
CLRO,13.33M,17.39%,-25.20%,-29.40%,-20.00%,5.10,2.60,0.00,0.00,54.60%,-58.20%,-49.60%,Nov 07/a,1.77,10.06%
NDP,-,17.14%,-,-,-,-,-,-,-,-,-,-,-,10.38,1.67%
BPT,678.08M,16.89%,-,-,9628.50%,-,-,0.00,0.00,-,98.50%,98.60%,Nov 08,31.70,1.23%
DRAD,29.19M,16.79%,-39.90%,-77.90%,-47.30%,1.70,1.20,0.42,0.00,21.80%,-4.60%,-24.20%,Nov 02/b,1.25,-4.58%
CGA,24.76M,16.59%,-1.40%,-1.70%,5.70%,4.90,4.30,0.02,0.03,25.80%,10.40%,-2.40%,Nov 14/b,0.62,3.00%
SDT,31.38M,16.52%,17.60%,17.60%,20.50%,-,-,0.00,0.00,88.60%,63.20%,64.10%,Nov 06/a,1.20,4.00%
GMLP,1.01B,16.41%,3.60%,14.30%,10.50%,0.50,0.50,2.04,2.54,78.40%,44.20%,23.60%,Aug 23,14.11,0.21%
CHKR,72.40M,16.34%,45.40%,45.70%,48.20%,-,-,0.00,0.00,94.90%,84.80%,85.10%,Nov 07/b,1.59,3.71%
MN,34.97M,16.24%,1.00%,1.30%,32.00%,4.40,4.40,0.00,0.00,-,19.20%,1.10%,Oct 30/a,2.00,1.51%
NGL,1.27B,16.17%,-3.90%,-13.60%,2.40%,2.00,1.50,1.74,1.74,2.60%,0.00%,-1.30%,Nov 08/b,9.47,-1.83%
CCLP,195.07M,16.16%,-5.40%,-49.50%,-0.10%,2.30,1.50,9.48,9.48,33.40%,2.50%,-12.70%,Nov 07/b,4.64,0.00%
MVO,117.22M,16.10%,64.40%,64.40%,48.70%,-,-,0.00,0.00,-,92.00%,92.80%,Nov 08,10.15,-1.55%
SDR,55.72M,16.07%,23.10%,23.10%,24.80%,-,-,0.00,0.00,94.20%,72.10%,71.90%,Nov 06,1.14,2.23%
EDI,-,16.00%,-,-,-,-,-,-,-,-,-,-,-,11.33,0.17%
OXLC,336.83M,15.84%,-,-,-,-,-,-,-,-,-,-,Nov 06/b,10.34,1.08%
BPL,4.79B,15.75%,4.40%,9.50%,7.20%,1.00,0.70,1.02,1.06,41.20%,16.40%,11.20%,Nov 09/b,32.87,2.48%
LBDC,-,15.71%,-,-,-,-,-,-,-,-,-,-,-,14.00,4.22%
BDCL,-,15.68%,-,-,-,-,-,-,-,-,-,-,-,14.13,4.05%
SNR,500.23M,15.64%,-1.30%,-7.10%,-2.30%,5.50,5.50,4.75,4.75,74.30%,-17.80%,-7.80%,Nov 01/b,5.80,-0.43%
MLPQ,-,15.59%,-,-,-,-,-,-,-,-,-,-,-,28.65,3.16%
SMRT,101.31M,15.54%,-1.80%,-17.00%,-8.40%,1.10,0.20,0.87,3.10,26.90%,-0.60%,-0.70%,Nov 21/a,1.90,-1.55%
BCRH,67.17M,15.52%,-26.50%,-38.80%,-34.00%,-,-,0.00,0.00,-,-,-,Oct 29,7.78,0.65%
MDLY,155.17M,15.21%,-2.00%,26.80%,20.10%,-,-,-,-,-,26.00%,-3.60%,Nov 13/b,5.30,0.76%
CHW,444.32M,15.14%,-,-,-,-,-,-,-,-,-,-,-,7.61,1.06%
ORC,348.60M,15.05%,-0.40%,-3.90%,0.10%,-,-,0.00,8.43,-0.60%,-26.20%,-26.30%,Oct 25/a,6.61,3.53%
ROYT,99.42M,15.04%,3.50%,3.50%,2.00%,-,-,0.00,0.00,-,77.00%,76.80%,Oct 29,2.29,1.33%
MMLP,534.13M,15.04%,4.70%,27.00%,5.40%,2.30,1.00,99.81,99.81,30.20%,5.60%,5.50%,Oct 24/a,13.61,2.33%
AVH,216.96M,14.98%,-0.10%,-0.30%,5.30%,0.50,0.50,2.88,3.37,44.90%,5.60%,-0.10%,Nov 13/a,5.08,-1.17%
GGN,544.06M,14.96%,-,-,-,-,-,-,-,-,-,-,-,4.08,1.75%
RIV,-,14.89%,-,-,-,-,-,-,-,-,-,-,-,16.98,0.35%
WPG,1.28B,14.81%,1.70%,8.80%,9.40%,-,-,3.86,3.86,67.90%,32.50%,10.30%,Oct 24/a,6.45,-4.52%
