Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,102.93M,629.45%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Sep 18/b,1.48,1.37%
SWZ,198.97M,249.87%,-,-,-,-,-,-,-,-,-,-,-,7.79,-0.89%
VMIN,-,118.32%,-,-,-,-,-,-,-,-,-,-,-,2.72,-0.53%
KEN,899.93M,77.14%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 29/b,16.01,0.00%
OSB,2.40B,49.87%,-,-,-,-,-,-,-,-,-,-,Nov 02,28.33,2.39%
OXBR,6.93M,43.24%,-88.10%,-164.90%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 13/a,1.12,0.50%
WHLR,35.59M,36.27%,-5.00%,-105.30%,0.10%,-,-,20.33,20.33,73.40%,3.60%,-39.80%,Nov 06/a,3.64,-2.80%
ATAI,30.04M,32.54%,-14.50%,-34.60%,6.80%,1.20,1.20,0.00,0.07,47.20%,-,-27.50%,Nov 08/a,1.15,-8.73%
PMTS,30.56M,30.51%,-16.90%,32.20%,-4.80%,2.20,2.00,-,-,29.60%,-7.20%,-15.80%,Nov 06/b,3.00,1.69%
NAUH,16.27M,28.57%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.61,-3.54%
CBL,565.53M,25.16%,-0.40%,-2.00%,5.00%,-,-,3.84,3.84,71.00%,22.00%,-2.50%,Oct 29/a,3.07,-3.46%
SNMP,117.12M,24.13%,-6.80%,98.20%,-0.10%,0.80,0.80,-,-,71.80%,5.20%,-48.20%,Nov 09/b,7.45,-0.08%
FGP,173.87M,23.67%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Sep 27/b,1.80,6.41%
EXD,-,22.88%,-,-,-,-,-,-,-,-,-,-,-,8.38,-0.17%
CLM,559.26M,22.63%,-,-,-,-,-,-,-,-,-,-,-,12.47,-0.64%
CRF,277.93M,22.48%,-,-,-,-,-,-,-,-,-,-,-,12.23,-0.41%
VEDL,11.01B,22.25%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,12.06,2.77%
MRRL,-,20.84%,-,-,-,-,-,-,-,-,-,-,-,14.42,1.53%
PER,140.61M,20.72%,18.90%,18.90%,19.30%,-,-,0.00,0.00,94.90%,83.10%,83.40%,Nov 06/a,2.53,0.80%
REML,-,20.42%,-,-,-,-,-,-,-,-,-,-,-,24.72,0.17%
