Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,HCLP,370.35M,25.21%,10.30%,16.10%,12.60%,1.80,1.50,0.55,0.55,26.90%,18.70%,15.80%,May 07/a,3.57,2.88%
ADDED,ATAI,45.63M,22.28%,128.10%,297.10%,-26.90%,10.80,10.80,0.00,0.00,-,-,-,Mar 14/a,1.84,1.66%
ADDED,ATTO,275.40M,18.13%,1.50%,5.60%,9.60%,1.40,1.40,1.23,1.39,-,4.90%,1.00%,May 06,3.75,1.35%
ADDED,FELP,190.56M,17.27%,-2.50%,-10.10%,4.10%,0.60,0.40,2.32,2.42,30.20%,7.60%,-5.60%,May 08/b,1.39,-7.33%
ADDED,MAXR,404.34M,15.96%,-,-,-28.80%,0.90,0.90,1.86,1.88,29.70%,-,-,May 09/a,6.83,4.92%
ADDED,IRS,531.42M,15.02%,-,-,9.00%,1.90,1.90,5.45,6.49,39.60%,-,-,Mar 15,9.21,3.48%
ADDED,ZMLP,-,11.95%,-,-,-,-,-,-,-,-,-,-,-,13.48,-0.70%
ADDED,PGP,135.63M,11.59%,-,-,-,-,-,-,-,-,-,-,-,12.60,0.00%
ADDED,MTEX,45.90M,11.11%,-5.50%,-12.50%,-16.50%,1.30,0.90,0.04,0.07,80.10%,-0.10%,-2.20%,Jun 10/b,18.00,-1.37%
ADDED,SHI,7.39B,10.72%,12.80%,19.10%,13.30%,1.80,1.20,0.00,0.02,6.00%,5.80%,5.60%,May 10/a,44.41,-1.70%
ADDED,VEDL,8.96B,10.65%,-0.70%,-2.10%,13.40%,1.00,0.80,0.64,1.07,27.10%,23.00%,-1.30%,May 09/b,9.67,-1.12%
ADDED,GLOP,969.80M,10.57%,3.80%,11.10%,8.60%,1.10,1.10,1.41,1.50,78.50%,49.60%,25.70%,Apr 25/b,20.82,-0.34%
ADDED,DKL,781.11M,10.56%,9.80%,-52.10%,21.90%,0.90,0.70,-,-,28.90%,19.10%,9.80%,May 06/b,30.68,-6.52%
ADDED,IRL,46.98M,10.39%,-,-,-,-,-,-,-,-,-,-,-,9.43,-0.32%
ADDED,EQM,5.33B,10.37%,3.30%,6.70%,8.20%,0.50,0.50,0.85,0.00,-,48.60%,16.20%,Apr 30/b,43.58,-1.11%
ADDED,DCP,4.36B,10.27%,0.60%,1.30%,1.90%,0.70,0.60,0.75,0.83,18.40%,2.30%,0.90%,May 06/a,30.37,-1.36%
ADDED,FAX,1.02B,10.21%,-,-,-,-,-,-,-,-,-,-,-,4.11,-0.12%
ADDED,GEL,2.64B,10.19%,-1.10%,-4.10%,3.30%,1.30,1.10,2.03,2.03,21.80%,5.80%,-2.60%,May 02/b,21.58,-0.51%
ADDED,CHS,409.50M,10.17%,3.20%,5.50%,4.90%,1.80,0.90,0.10,0.10,35.80%,2.00%,1.60%,Jun 05/b,3.44,-2.82%
ADDED,SZC,-,10.15%,-,-,-,-,-,-,-,-,-,-,-,16.15,-0.74%
ADDED,AWP,507.32M,10.10%,-,-,-,-,-,-,-,-,-,-,-,5.94,-1.16%
ADDED,FPL,-,10.01%,-,-,-,-,-,-,-,-,-,-,-,8.99,-0.22%
REMOVED,ACET,5.90M,23.00%,-54.60%,-475.30%,-69.50%,1.00,0.60,2.65,6.30,12.80%,-46.00%,-61.10%,Feb 07/a,0.18,4.68%
REMOVED,CGA,19.11M,20.53%,-1.70%,-2.10%,5.70%,5.60,4.00,0.02,0.03,24.10%,10.40%,-3.10%,Apr 10/b,0.50,2.42%
REMOVED,AM,6.83B,13.64%,142.30%,244.20%,-,0.20,0.20,0.00,0.00,-,-,-,Feb 13/a,14.14,2.61%
REMOVED,NAO,18.20M,13.56%,-,-,-6.50%,6.70,6.10,0.60,0.60,89.80%,-,-,Mar 13/b,3.00,1.69%
REMOVED,TNK,255.43M,12.37%,-3.30%,-7.30%,0.10%,1.00,1.00,1.05,1.18,22.00%,-4.30%,-9.40%,Feb 21/b,0.97,-0.01%
REMOVED,WES,14.15B,12.21%,4.10%,37.20%,10.80%,0.60,0.60,5.03,5.06,78.30%,31.40%,18.60%,Feb 14/a,31.50,0.45%
REMOVED,KCAP,134.53M,11.05%,-,-,-,-,-,-,-,-,-,-,Feb 26/a,3.63,0.28%
REMOVED,GLQ,139.92M,10.64%,-,-,-,-,-,-,-,-,-,-,-,12.85,1.26%
REMOVED,FEO,68.08M,10.41%,-,-,-,-,-,-,-,-,-,-,-,13.69,1.78%
REMOVED,HSBC,161.57B,10.35%,-,-,6.00%,-,-,1.42,1.42,-,-,-,Feb 20,41.81,3.03%
REMOVED,CGBD,897.47M,10.22%,1.90%,3.50%,5.40%,-,-,0.48,0.90,53.70%,52.30%,18.80%,Feb 26/a,14.69,1.45%
REMOVED,VOC,96.91M,10.18%,16.60%,16.60%,17.20%,-,-,0.00,0.00,-,93.00%,93.30%,Apr 04,6.11,7.32%
REMOVED,FDUS,375.02M,10.18%,-,-,-,-,-,-,-,-,-,-,Feb 28/a,15.46,0.87%
REMOVED,TCPC,835.06M,10.16%,2.70%,5.30%,5.70%,-,-,0.97,0.97,65.40%,49.10%,23.90%,Feb 28/b,14.28,0.71%
REMOVED,ARI,2.45B,10.11%,3.90%,7.80%,4.60%,-,-,0.98,0.98,71.60%,56.90%,46.90%,Feb 13/a,18.30,0.55%
REMOVED,AHT,500.98M,10.11%,-3.60%,-33.30%,1.80%,-,-,8.68,8.68,31.80%,5.70%,-11.90%,Feb 28/a,4.89,3.05%
REMOVED,ERC,380.56M,10.08%,-,-,-,-,-,-,-,-,-,-,-,12.21,0.91%
REMOVED,NMFC,1.09B,10.02%,-,-,-,-,-,-,-,-,-,-,Feb 27/a,13.70,0.96%
REMOVED,WHF,291.75M,10.00%,-,-,-,-,-,-,-,-,-,-,Mar 06/b,14.20,0.00%
