Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,OMI,520.37M,13.16%,-4.00%,-14.70%,3.70%,1.80,0.90,2.08,2.08,13.30%,-1.30%,-1.50%,Oct 31/b,8.28,4.81%
ADDED,NEWM,869.27M,10.53%,2.70%,5.20%,2.40%,1.30,1.20,0.52,0.54,-,4.80%,2.50%,Oct 31/b,14.36,2.21%
ADDED,MRT,271.50M,10.16%,3.20%,5.40%,5.60%,-,-,0.75,0.75,96.90%,49.80%,29.00%,Nov 09/a,8.29,0.24%
ADDED,SZC,-,10.02%,-,-,-,-,-,-,-,-,-,-,-,16.33,-0.18%
REMOVED,FEDU,195.21M,10.47%,2.30%,3.10%,5.80%,2.90,2.90,0.00,0.00,57.40%,15.20%,6.50%,Oct 24/b,4.21,4.99%
REMOVED,DKL,756.49M,10.33%,11.00%,34.30%,14.80%,2.40,1.80,4.25,4.25,31.50%,17.60%,9.70%,Nov 06/a,31.27,2.24%
REMOVED,DDF,87.26M,10.31%,-,-,-,-,-,-,-,-,-,-,-,11.79,3.88%
REMOVED,SAR,153.34M,10.15%,-,-,-,-,-,-,-,-,-,-,Oct 10/a,20.94,2.12%
REMOVED,NEWT,361.00M,10.11%,0.00%,0.00%,-,-,-,0.89,0.00,-,25.30%,0.00%,Nov 07/a,19.45,2.42%
REMOVED,GCV,68.28M,10.11%,-,-,-,-,-,-,-,-,-,-,-,4.86,2.22%
REMOVED,ETO,317.76M,10.09%,-,-,-,-,-,-,-,-,-,-,-,21.73,1.54%
REMOVED,GUT,316.96M,10.07%,-,-,-,-,-,-,-,-,-,-,-,6.00,0.67%
REMOVED,HTGC,1.19B,10.02%,-,-,-,-,-,-,-,-,-,-,Nov 01/a,12.57,1.66%
REMOVED,VIV,18.90B,10.02%,6.80%,10.00%,7.10%,0.90,0.90,0.07,0.09,52.90%,19.50%,16.10%,Oct 31,11.61,0.26%
REMOVED,GEL,2.72B,10.01%,-0.20%,-0.80%,3.80%,1.50,1.30,2.00,2.00,21.80%,8.40%,-0.60%,Nov 01/b,22.04,2.18%
REMOVED,REM,-,10.01%,-,-,-,-,-,-,-,-,-,-,-,42.79,0.52%
