Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,11.76M,0.00,3.87
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.47B,0.07,3.75
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,9.26M,0.13,1.84
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,8.48M,0.34,5.71
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,219.01M,0.47,10.07
STCN,"Steel Connect, Inc.",Services,Business Services,USA,128.47M,0.48,1.97
OPHT,Ophthotech Corporation,Healthcare,Biotechnology,USA,86.51M,0.53,2.27
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,63.95M,0.60,1.78
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,245.99M,0.60,14.82
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.83B,0.61,16.49
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,139.15M,0.72,11.36
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,579.65M,0.79,1.21
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,32.68M,0.82,0.88
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,530.24M,0.84,3.71
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.64M,0.84,7.71
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,62.59M,0.95,0.93
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.22B,1.02,14.32
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,27.53M,1.08,1.07
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,25.51M,1.09,0.65
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,28.05M,1.15,16.50
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,140.98M,1.31,2.66
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.96M,1.33,3.20
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,56.43M,1.33,18.72
MDCA,MDC Partners Inc.,Services,Marketing Services,Canada,144.50M,1.38,2.55
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,300.45M,1.56,3.40
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,425.13M,1.57,25.14
GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,9.07M,1.57,0.18
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,34.79M,1.61,2.03
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,78.20M,1.63,14.81
VNTR,Venator Materials PLC,Basic Materials,Specialty Chemicals,United Kingdom,740.42M,1.63,6.69
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,43.84M,1.69,1.57
DAC,Danaos Corporation,Services,Shipping,Greece,219.56M,1.73,1.02
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,25.41M,1.77,1.24
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,122.28M,1.78,2.01
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,923.10M,1.79,23.83
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,90.06M,1.95,2.74
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,2.11B,2.04,25.49
BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,352.82M,2.06,10.98
DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,35.36M,2.08,2.00
RFP,Resolute Forest Products Inc.,Consumer Goods,Paper & Paper Products,Canada,1.06B,2.11,13.75
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.35B,2.11,13.07
AABA,Altaba Inc.,Financial,Asset Management,USA,36.39B,2.13,59.82
TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,17.61M,2.14,0.76
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,482.08M,2.15,3.29
SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,324.35M,2.17,9.00
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,13.69M,2.19,0.52
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,11.19M,2.21,0.96
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,111.93M,2.28,2.08
SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,51.11M,2.28,2.73
KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,111.31M,2.32,2.47
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1.28B,2.32,5.68
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,12.42M,2.37,1.95
DQ,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,China,285.24M,2.38,22.00
TDF,"Templeton Dragon Fund, Inc.",Financial,Closed-End Fund - Foreign,Singapore,590.23M,2.40,17.35
FNJN,"Finjan Holdings, Inc.",Technology,Application Software,USA,102.87M,2.45,3.68
HEBT,"Hebron Technology Co., Ltd.",Industrial Goods,Diversified Machinery,China,10.01M,2.46,1.22
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,897.80M,2.47,16.12
KLXE,"KLX Energy Services Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,603.80M,2.58,29.29
NPO,"EnPro Industries, Inc.",Industrial Goods,Industrial Equipment & Components,USA,1.32B,2.63,66.60
BTI,British American Tobacco p.l.c.,Consumer Goods,Cigarettes,United Kingdom,100.96B,2.68,44.37
EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,53.38M,2.68,4.26
MDR,"McDermott International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.37B,2.71,8.50
APF,Morgan Stanley Asia-Pacific Fun,Financial,Closed-End Fund - Foreign,USA,197.21M,2.71,15.02
RYAM,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals - Major Diversified,USA,638.19M,2.72,12.57
FAF,First American Financial Corporation,Financial,Property & Casualty Insurance,USA,4.87B,2.74,44.69
LIVE,Live Ventures Incorporated,Technology,Internet Information Providers,USA,13.47M,2.79,6.90
SORL,"SORL Auto Parts, Inc.",Consumer Goods,Auto Manufacturers - Major,China,72.84M,2.80,3.87
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,14.42B,2.82,9.66
PENN,"Penn National Gaming, Inc.",Services,Resorts & Casinos,USA,2.36B,2.83,23.16
EMES,Emerge Energy Services LP,Basic Materials,Industrial Metals & Minerals,USA,62.18M,2.83,2.12
VHI,"Valhi, Inc.",Basic Materials,Chemicals - Major Diversified,USA,667.74M,2.88,2.10
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,23.74M,2.88,1.40
HMG,"HMG/Courtland Properties, Inc.",Financial,REIT - Retail,USA,14.06M,2.92,14.06
EVC,Entravision Communications Corporation,Services,Broadcasting - TV,USA,444.30M,2.92,4.96
HPJ,"Highpower International, Inc.",Industrial Goods,Industrial Electrical Equipment,China,37.29M,2.98,2.26
GTX,Garrett Motion Inc.,Consumer Goods,Auto Parts,Switzerland,1.09B,2.98,15.62
ASYS,"Amtech Systems, Inc.",Technology,Semiconductor Equipment & Materials,USA,74.24M,3.22,4.87
CLBS,"Caladrius Biosciences, Inc.",Healthcare,Biotechnology,USA,47.03M,3.26,4.79
CWH,"Camping World Holdings, Inc.",Financial,REIT - Office,USA,1.63B,3.27,17.88
CHMI,Cherry Hill Mortgage Investment Corporation,Financial,REIT - Residential,USA,284.77M,3.28,18.01
CARV,"Carver Bancorp, Inc.",Financial,Savings & Loans,USA,16.75M,3.29,4.47
HCC,"Warrior Met Coal, Inc.",Financial,Property & Casualty Insurance,USA,1.45B,3.31,25.90
MU,"Micron Technology, Inc.",Technology,Semiconductor- Memory Chips,USA,44.45B,3.32,38.14
MTL,Mechel PAO,Basic Materials,Steel & Iron,Russia,802.82M,3.33,2.75
BXC,BlueLinx Holdings Inc.,Services,Building Materials Wholesale,USA,224.43M,3.36,24.52
NVFY,"Nova LifeStyle, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,34.78M,3.37,1.35
VZA,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,105.16B,3.38,25.42
CNCE,"Concert Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,352.11M,3.38,15.07
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities,USA,23.79B,3.44,76.06
SBOW,"SilverBow Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,317.48M,3.48,25.76
CVIA,Covia Holdings Corporation,Basic Materials,Industrial Metals & Minerals,USA,705.56M,3.57,6.11
SBGI,"Sinclair Broadcast Group, Inc.",Services,Broadcasting - TV,USA,2.97B,3.60,29.25
HCLP,Hi-Crush Partners LP,Basic Materials,Industrial Metals & Minerals,USA,612.57M,3.60,7.56
LCI,"Lannett Company, Inc.",Healthcare,Drugs - Generic,USA,143.98M,3.63,3.79
THST,"Truett-Hurst, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,8.83M,3.67,2.04
TST,"TheStreet, Inc.",Technology,Internet Information Providers,USA,93.76M,3.70,1.99
MTOR,"Meritor, Inc.",Consumer Goods,Auto Parts,USA,1.47B,3.74,17.15
REGI,"Renewable Energy Group, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,1.16B,3.76,31.05
JMEI,Jumei International Holding Limited,Services,"Specialty Retail, Other",China,286.38M,3.78,2.00
ESGRP,Enstar Group Limited,Financial,Insurance Brokers,Bermuda,551.23M,3.80,25.69
DXF,Dunxin Financial Holdings Limited,Financial,Credit Services,China,80.64M,3.86,3.78
ALO,Alio Gold Inc.,Basic Materials,Gold,Canada,59.66M,3.87,0.74
NLY,"Annaly Capital Management, Inc.",Financial,REIT - Diversified,USA,12.94B,3.89,9.81
DX,"Dynex Capital, Inc.",Financial,REIT - Residential,USA,334.72M,3.93,5.84
OSB,Norbord Inc.,Services,Building Materials Wholesale,Canada,2.20B,3.96,27.04
SID,Companhia Siderurgica Nacional,Basic Materials,Steel & Iron,Brazil,3.51B,3.96,2.52
SURF,"Surface Oncology, Inc.",Healthcare,Biotechnology,USA,223.37M,3.97,7.20
HNNA,"Hennessy Advisors, Inc.",Financial,Asset Management,USA,92.55M,4.00,12.15
NTRSP,Northern Trust Corporation,Financial,Asset Management,USA,5.68B,4.01,25.46
GAIN,Gladstone Investment Corporation,Financial,Diversified Investments,USA,343.00M,4.01,10.61
UTF,"Cohen & Steers Infrastructure Fund, Inc",Financial,Closed-End Fund - Equity,USA,1.83B,4.05,21.55
TMK,Torchmark Corporation,Financial,Life Insurance,USA,9.55B,4.08,84.76
RVT,Royce Value Trust Inc.,Financial,Closed-End Fund - Equity,USA,1.16B,4.16,14.01
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Goods,Auto Parts,USA,1.69B,4.24,15.24
HABT,"The Habit Restaurants, Inc.",Services,Restaurants,USA,338.84M,4.24,13.53
QD,Qudian Inc.,Technology,Information Technology Services,China,1.35B,4.26,4.36
AFGE,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,2.26B,4.31,25.39
