Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,9.61M,0.00,3.43
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.64B,0.07,3.91
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,9.17M,0.13,1.84
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,13.57M,0.35,5.95
STCN,"Steel Connect, Inc.",Services,Business Services,USA,115.79M,0.42,1.80
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,205.98M,0.45,9.97
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,235.94M,0.60,14.60
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,68.61M,0.62,1.70
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.91B,0.62,16.78
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,133.56M,0.66,10.41
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,568.72M,0.73,1.10
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,30.70M,0.81,0.87
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.87M,0.87,7.95
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,626.82M,0.96,3.82
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,62.42M,1.00,1.00
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,27.76M,1.08,1.07
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,26.90M,1.10,15.82
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.17M,1.12,2.54
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,25.17M,1.12,0.64
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.39B,1.22,16.52
PRTS,"U.S. Auto Parts Network, Inc.",Services,"Specialty Retail, Other",USA,43.74M,1.30,1.23
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,147.02M,1.36,2.76
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,52.13M,1.39,19.82
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,419.89M,1.48,24.09
GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,8.84M,1.54,0.19
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,309.47M,1.57,3.38
DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,25.37M,1.59,1.50
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,31.00M,1.70,2.06
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,83.32M,1.71,15.57
EMCF,Emclaire Financial Corp.,Financial,Regional - Northeast Banks,USA,72.71M,1.75,33.20
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,27.74M,1.75,1.23
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,938.59M,1.82,24.24
DAC,Danaos Corporation,Services,Shipping,Greece,236.45M,1.86,1.12
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,130.10M,1.90,2.11
BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,344.06M,1.94,9.97
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,89.74M,1.96,2.73
